agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id,GEOID
0,2019-09-19T13:45:58.425Z,,1,,1984-06-09T00:00:00.000Z,0,1,,,A,0,6.0,,,5.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-09-05T00:00:00.000Z,3953.3,0.0,0.0,0,3,0,7300.0,4200.0,1984,0,4153.0,,3953.3,10000.0,1.0,N,,,0.0,,0.0,,808.0,,0.0,0,Flooding,,0.0,310073.0,,,97.0,,1.0,0.0,,A,0,1.0,,,0,NE,Currently Unavailable,68106.0,31055.0,31055007002.0,310550070022.0,41.2,-96.0,11c8b04f-5fa5-4c2f-8e11-32a0c0225ceb,3131055310550070023
0,2019-09-19T13:45:58.425Z,,1,,1983-06-29T00:00:00.000Z,0,1,,,A,0,6.0,,,5.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-09-05T00:00:00.000Z,1811.0,0.0,0.0,0,3,0,7300.0,4200.0,1983,0,2166.0,,1811.0,890000.0,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310073.0,,,97.0,,1.0,0.0,,A,0,1.0,,,0,NE,Currently Unavailable,68106.0,31055.0,31055007002.0,310550070022.0,41.2,-96.0,90c709c4-4a50-42a2-bd0a-04efcfca0bd7,3131055310550070023
0,2019-09-19T13:45:58.425Z,,1,,1982-02-19T00:00:00.000Z,0,1,,,A,0,6.0,,,5.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-09-05T00:00:00.000Z,652.8,0.0,0.0,0,3,0,7300.0,4200.0,1982,0,853.0,,652.8,15000.0,4.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310073.0,,,97.0,,1.0,0.0,,A,0,1.0,,,0,NE,Currently Unavailable,68106.0,31055.0,31055007002.0,310550070022.0,41.2,-96.0,ec7c0c89-6297-4737-be5f-2aad89465c1b,3131055310550070023
0,2019-09-19T13:45:58.425Z,,1,,1984-06-12T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,1.0,1968-07-01T00:00:00.000Z,1979-02-07T00:00:00.000Z,1080.0,1280.0,0.0,0,3,0,12100.0,2100.0,1984,0,3404.0,0,1080.0,52700.0,4.0,N,2642.0,0,1280.0,30000.0,0.0,,,,0.0,0,,,0.0,310068.0,,,,,1.0,0.0,0.0,A,0,1.0,,,0,NE,Currently Unavailable,68025.0,31053.0,nan,nan,41.4,-96.5,f68ae576-256a-402e-b3ab-456789434a46,
0,2019-09-19T13:45:58.425Z,,1,,1984-06-14T00:00:00.000Z,0,,,,C,0,3.0,,,1.0,0,10.0,1.0,1944-07-01T00:00:00.000Z,1984-03-08T00:00:00.000Z,1874.2,622.0,0.0,0,1,0,12100.0,2200.0,1984,0,2375.0,0,1874.2,12100.0,1.0,N,1123.0,0,622.0,2200.0,0.0,,,,0.0,0,,,0.0,310195.0,,,,,1.0,0.0,0.0,A,0,1.0,,,0,NE,Currently Unavailable,,nan,nan,nan,,,264bb653-09c8-4e59-b61d-b372ef6c01fa,
0,2019-10-18T20:33:00.300Z,,1,,1980-01-18T00:00:00.000Z,0,,,,,0,3.0,,,1.0,0,10.0,2.0,1492-10-12T00:00:00.000Z,1979-02-05T00:00:00.000Z,,,,0,1,0,0.0,10000.0,1980,0,,,0.0,,4.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310078.0,,,98.0,98.0,1.0,,,,0,0.0,,,0,NE,Currently Unavailable,68064.0,31055.0,31055007504.0,310550075042.0,41.3,-96.3,2470ec89-d1a4-48d1-9794-d063d8314f58,3131055310550075043
0,2019-09-19T13:45:58.425Z,,1,,1979-03-17T00:00:00.000Z,0,1,,,A,0,6.0,,,5.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-09-05T00:00:00.000Z,359.8,0.0,0.0,0,1,0,6000.0,4000.0,1979,0,560.0,,359.8,6000.0,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310073.0,,,97.0,,1.0,0.0,,R,0,1.0,,,0,NE,Currently Unavailable,68106.0,31055.0,31055007002.0,310550070022.0,41.2,-96.0,2dae3baa-33a8-4f5f-a8ae-8f045eb0484e,3131055310550070023
0,2019-09-19T13:45:58.425Z,,1,,1979-03-14T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-05-20T00:00:00.000Z,148.0,0.0,0.0,0,,0,5000.0,5000.0,1979,0,350.0,,148.0,6000.0,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310073.0,,,97.0,,1.0,0.0,,R,0,1.0,,,0,NE,Currently Unavailable,68069.0,31055.0,31055007508.0,310550075082.0,41.3,-96.3,2dd116e4-c477-4235-a5f9-83504ce6838a,3131055310550075083
0,2019-10-18T20:33:00.300Z,,1,,1979-08-25T00:00:00.000Z,0,,,,,0,3.0,,,2.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1979-07-21T00:00:00.000Z,,,,0,1,0,10000.0,5000.0,1979,0,,,0.0,,4.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310087.0,,,6.0,6.0,1.0,,,,0,0.0,,,0,NE,Currently Unavailable,69022.0,31065.0,31065963900.0,310659639003.0,40.3,-100.2,fa78e621-002e-47c9-a7ec-b75deae32dfe,3131065310659639003
0,2019-09-19T13:45:58.425Z,,1,,1983-06-17T00:00:00.000Z,0,,,,AO,0,3.0,,,1.0,0,10.0,1.0,1959-07-01T00:00:00.000Z,1979-07-13T00:00:00.000Z,1960.5,0.0,0.0,0,1,0,55200.0,22100.0,1983,0,2461.0,0,1960.5,50000.0,4.0,N,,0,0.0,,0.0,,,,0.0,0,,,0.0,310143.0,,,97.0,,1.0,0.0,,A,0,1.0,,,0,NE,Currently Unavailable,69103.0,31111.0,nan,nan,41.1,-100.8,46823875-acf2-4a70-93f8-5e0d8a978367,
0,2019-09-19T06:12:43.388Z,,1,,1979-03-18T00:00:00.000Z,0,1,,,A,0,3.0,,,1.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1978-05-20T00:00:00.000Z,,,,0,,0,5000.0,5000.0,1979,0,350.0,,0.0,6000.0,1.0,N,,,0.0,,0.0,,,,0.0,0,,,0.0,310073.0,,,97.0,97.0,1.0,0.0,,R,0,1.0,,,0,NE,Currently Unavailable,68069.0,31055.0,31055007508.0,310550075082.0,41.3,-96.3,3727c8f6-f78b-4292-9bd1-bce2bb07eb99,3131055310550075083
0,2019-09-19T13:45:58.425Z,,1,,1984-06-15T00:00:00.000Z,0,1,,,A,0,6.0,,,5.0,0,10.0,1.0,1492-10-12T00:00:00.000Z,1979-01-23T00:00:00.000Z,3690.0,560.0,0.0,0,3,0,9700.0,4800.0,1984,0,4190.0,0,3690.0,10000.0,1.0,N,1060.0,0,560.0,5000.0,0.0,,,,0.0,0,,,0.0,310190.0,,,,,1.0,0.0,0.0,A,0,1.0,,,0,NE,Currently Unavailable,,nan,nan,nan,,,2c558040-b544-4f38-8252-36e2bee34c4c,
